BLOCKID|COUNTYFP|DISTRICT
720054001004009|005|0035.8
720054001004010|005|0035.8
720054001004011|005|0035.8
720054001004012|005|0035.8
720054001004013|005|0035.8
720054001005000|005|0035.8
720054001005001|005|0035.8
720054001005002|005|0035.8
720054001005003|005|0035.8
720054001005004|005|0035.8
720054001005005|005|0035.8
720054001005006|005|0035.8
720054001005007|005|0035.8
720054001005008|005|0035.8
720054001005009|005|0035.8
720054001005010|005|0035.8
720054003001000|005|0035.5
720054003001001|005|0035.5
720054003001002|005|0035.5
720054003001003|005|0035.5
720054003001004|005|0035.5
720054003001005|005|0035.5
720054003001006|005|0035.5
720054003001007|005|0035.5
720054003001008|005|0035.5
720054003001009|005|0035.5
720054003001010|005|0035.5
720054003001011|005|0035.5
720054003001012|005|0035.5
720054003001013|005|0035.5
720054003001014|005|0035.5
720054003001015|005|0035.5
720054003001016|005|0035.5
720054003001017|005|0035.5
720054003001018|005|0035.5
720054003001019|005|0035.5
720054003001020|005|0035.5
720054003001021|005|0035.5
720054003001022|005|0035.5
720054003001023|005|0035.5
720054003001024|005|0035.5
720054003001025|005|0035.5
720054003001026|005|0035.5
720054003001027|005|0035.5
720054003001028|005|0035.5
720054003001029|005|0035.5
720054003001030|005|0035.5
720054003001031|005|0035.5
720054003001032|005|0035.5
720054003001033|005|0035.5
720054003001034|005|0035.5
720054003001035|005|0035.5
720054003001036|005|0035.5
720054003001037|005|0035.5
720054003001038|005|0035.5
720054003001039|005|0035.5
720054003001040|005|0035.5
720054003001041|005|0035.5
720054003001042|005|0035.5
720054003001043|005|0035.5
720054003001044|005|0035.5
720054003002000|005|ZZZZZZ
720054003002001|005|ZZZZZZ
720054003002002|005|0035.5
720054003002003|005|0035.5
720054003002004|005|0035.5
720054003002005|005|0035.5
720054003002006|005|0035.5
720054003002007|005|0035.5
720054003002008|005|0035.5
720054003002009|005|0035.5
720054003002010|005|0035.8
720054003002011|005|0035.8
720054003002012|005|0035.5
720054003002013|005|0035.5
720054003002014|005|0035.5
720054003002015|005|0035.5
720054003002016|005|0035.8
720054003002017|005|0035.8
720054003002018|005|0035.5
720054003002019|005|0035.5
720054003002020|005|0035.5
720054003002021|005|0035.5
720054003002022|005|0035.8
720054003002023|005|0035.8
720054003002024|005|0035.8
720054003002025|005|0035.5
720054003002026|005|0035.8
720054003002027|005|0035.5
720054003002028|005|0035.5
720054003002029|005|0035.5
720054003002030|005|0035.8
720054003002031|005|0035.8
720054003002032|005|035.17
720054003002033|005|0035.5
720054003002034|005|0035.5
720054003002035|005|0035.5
720054003002036|005|0035.5
720054003002037|005|0035.5
720054003002038|005|0035.5
720054003002039|005|0035.5
720054003002040|005|0035.5
720054003002041|005|0035.5
720054003002042|005|0035.5
720054003002043|005|0035.5
720054003002044|005|0035.5
720054003002045|005|0035.5
720054003002046|005|0035.5
720054003002047|005|0035.5
720054003002048|005|0035.5
720054003002049|005|0035.5
720054003002050|005|0035.8
720054003002051|005|0035.8
720054004001000|005|0035.7
720054004001001|005|0035.7
720054004001002|005|0035.7
720054004001003|005|0035.7
720054004001004|005|0035.3
720054004001005|005|0035.7
720054004001006|005|0035.7
720054004001007|005|0035.3
720054004001008|005|0035.7
720054004001009|005|0035.3
720054004002000|005|ZZZZZZ
720054004002001|005|0035.3
720054004002002|005|0035.5
720054004002003|005|0035.5
720054004002004|005|0035.5
720054004002005|005|0035.5
720054004002006|005|0035.5
720054004002007|005|0035.5
720054004002008|005|0035.4
720054004002009|005|ZZZZZZ
720054004002010|005|0035.4
720054004002011|005|0035.4
720054004002012|005|0035.3
720054004003000|005|0035.3
720054004003001|005|0035.3
720054004003002|005|0035.3
720054004003003|005|0035.3
720054004003004|005|0035.3
720054004003005|005|0035.3
